,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,Waiouru,-39.48,175.67,61.66,45,99,8.95,NZ,1605913873
370,Moree,-29.47,149.85,80.6,44,10,14.99,AU,1605913874
371,Guadalupe y Calvo,26.1,-106.97,69.42,30,0,4.85,MX,1605913874
372,Dudinka,69.41,86.18,17.6,92,75,29.08,RU,1605913672
373,Lüderitz,-26.65,15.16,60.17,91,11,3.4,NA,1605913660
374,Worthington,40.09,-83.02,60.01,54,75,10.29,US,1605913874
375,Ol'ga,43.74,135.29,23.85,94,25,6.15,RU,1605913874
376,Boulsa,12.67,-0.58,74.25,21,21,7.76,BF,1605913750
377,Xingyi,24.19,102.82,45.68,88,0,2.82,CN,1605913875
378,Bryan,30.67,-96.37,80.6,54,1,9.17,US,1605913748
379,Port Lincoln,-34.73,135.87,76.39,43,100,4.25,AU,1605913726
380,Quatre Cocos,-20.21,57.76,72.0,93,20,3.36,MU,1605913876
381,Sunnyside,46.32,-120.01,50.0,61,1,1.97,US,1605913876
382,Albury,-36.08,146.92,78.01,50,97,6.93,AU,1605913713
383,Dhubri,26.03,89.97,66.27,86,67,7.87,IN,1605913876
384,Koshurnikovo,54.17,93.3,13.05,98,100,3.24,RU,1605913877
385,Carauari,-4.88,-66.9,75.97,92,100,2.37,BR,1605913877
386,Matara,5.95,80.54,75.56,89,100,6.35,LK,1605913877
387,Gushikawa,26.35,127.87,75.2,83,90,13.87,JP,1605913877
388,Anadyr,64.75,177.48,28.4,92,75,17.9,RU,1605913877
389,Huarmey,-10.07,-78.15,67.53,74,83,10.85,PE,1605913878
390,Kérouané,9.27,-9.02,71.71,48,16,1.79,GN,1605913878
391,Tongchuanshi,35.08,109.09,38.34,77,98,6.8,CN,1605913878
392,Salalah,17.02,54.09,77.0,50,20,8.05,OM,1605913878
393,Geraldton,-28.77,114.6,64.4,68,40,11.41,AU,1605913879
394,Grand Valley,43.9,-80.32,51.8,66,43,10.29,CA,1605913879
395,Grindavik,63.84,-22.43,39.2,80,75,12.75,IS,1605913879
396,Villarrubia de los Ojos,39.22,-3.61,53.01,57,0,10.02,ES,1605913879
397,Mapiripán,2.89,-72.13,77.92,84,70,4.27,CO,1605913879
398,Rondonópolis,-16.47,-54.64,78.6,59,24,3.33,BR,1605913880
399,Fatehpur,25.93,80.8,59.63,40,0,6.58,IN,1605913880
400,Coahuayana Viejo,18.73,-103.68,84.72,60,32,4.07,MX,1605913880
401,Ampanihy,-24.7,44.75,69.21,90,31,9.98,MG,1605913880
402,Northam,51.03,-4.22,51.01,95,100,11.01,GB,1605913880
403,Rawson,-43.3,-65.1,84.16,20,80,24.09,AR,1605913881
404,Coyhaique,-45.58,-72.07,60.8,59,75,6.93,CL,1605913672
405,Steinkjer,64.19,11.39,37.0,76,100,30.0,NO,1605913881
406,Alamosa,37.47,-105.87,51.8,27,75,6.93,US,1605913881
407,Saint-Augustin,51.23,-58.65,27.82,97,47,7.74,CA,1605913881
408,Dhārchula,29.85,80.53,43.83,43,0,5.64,IN,1605913882
409,Province of Modena,44.5,10.9,45.0,72,54,3.71,IT,1605913882
410,Belaya Rechka,43.44,43.53,37.4,86,90,4.47,RU,1605913882
411,Pervomayskoye,43.92,46.71,47.44,75,100,23.02,RU,1605913882
412,Alghero,40.56,8.32,55.4,66,20,14.99,IT,1605913882
413,Tabou,4.42,-7.35,78.42,85,25,9.55,CI,1605913883
414,Qasigiannguit,68.82,-51.19,28.4,86,75,8.05,GL,1605913667
415,Mehamn,71.04,27.85,32.0,93,40,23.04,NO,1605913883
416,Half Moon Bay,37.46,-122.43,64.99,41,1,6.93,US,1605913720
417,Beringovskiy,63.05,179.32,25.45,98,100,12.64,RU,1605913883
418,Barguzin,53.62,109.62,5.86,87,81,2.39,RU,1605913883
419,Baruun-Urt,46.68,113.28,2.97,86,12,5.97,MN,1605913884
420,Zhigansk,66.77,123.37,-6.83,90,100,15.61,RU,1605913671
421,Semey,50.41,80.23,12.58,87,29,6.85,KZ,1605913884
422,Sembakung,3.82,117.25,75.47,88,94,1.34,ID,1605913884
423,Yarensk,62.17,49.09,34.05,91,100,11.01,RU,1605913885
424,Miracema do Tocantins,-9.56,-48.4,77.05,75,53,1.92,BR,1605913885
425,Jutaí,-5.18,-68.9,74.5,97,100,2.53,BR,1605913885
426,Touros,-5.2,-35.46,80.6,78,40,13.87,BR,1605913885
427,Korāput,18.82,82.72,63.55,76,0,2.15,IN,1605913885
428,Paciran,-6.88,112.38,79.29,85,98,6.15,ID,1605913885
429,Rabo de Peixe,37.8,-25.58,62.6,88,20,10.29,PT,1605913886
430,Carlsbad,33.16,-117.35,72.0,64,1,11.41,US,1605913886
431,Niquero,20.04,-77.58,78.42,82,94,18.57,CU,1605913886
432,Tuatapere,-46.13,167.68,48.99,87,89,25.01,NZ,1605913886
433,Shingū,33.73,135.98,59.0,67,40,20.8,JP,1605913886
434,Juneau,58.3,-134.42,30.2,86,90,3.98,US,1605913887
435,Sakakah,29.97,40.21,64.4,82,75,9.17,SA,1605913887
436,Boyolangu,-8.12,111.89,78.26,81,19,0.94,ID,1605913887
437,Opuwo,-18.06,13.84,71.73,29,2,3.8,NA,1605913887
438,Aleppo Governorate,36.25,37.5,53.51,78,98,15.61,SY,1605913888
439,Karaton,-6.34,106.1,79.0,88,20,3.36,ID,1605913888
440,Forssa,60.81,23.62,25.0,93,0,3.83,FI,1605913888
441,Örnsköldsvik,63.29,18.72,21.2,100,20,2.24,SE,1605913888
442,Iqaluit,63.75,-68.51,6.8,77,75,4.7,CA,1605913888
443,Ukiah,39.15,-123.21,64.0,36,1,1.95,US,1605913866
444,Hokitika,-42.72,170.97,57.49,85,94,10.85,NZ,1605913759
445,Ahipara,-35.17,173.17,64.42,63,26,4.97,NZ,1605913670
446,City of San Pedro,14.35,121.02,80.01,88,40,2.24,PH,1605913889
447,Kerchevskiy,59.95,56.29,26.26,94,78,11.92,RU,1605913889
448,Tigil',57.8,158.67,15.94,96,100,5.21,RU,1605913889
449,Merauke,-8.47,140.33,83.39,69,86,13.02,ID,1605913890
450,Yangi Marg`ilon,40.43,71.72,23.0,67,0,2.24,UZ,1605913890
451,Lékoni,-1.58,14.26,73.45,88,96,0.92,GA,1605913890
452,Sisimiut,66.94,-53.67,26.46,93,86,10.56,GL,1605913890
453,Hirara,24.8,125.28,77.0,83,40,13.87,JP,1605913891
454,Sitka,57.05,-135.33,41.0,78,40,2.08,US,1605913661
455,Henties Bay,-22.12,14.28,61.0,85,34,4.5,NA,1605913707
456,Pangnirtung,66.15,-65.71,12.2,72,75,6.93,CA,1605913891
457,Sébaco,12.85,-86.1,69.8,94,75,0.43,NI,1605913891
458,Río Cuarto,-33.13,-64.35,78.8,41,40,27.51,AR,1605913891
459,Ghoti,19.72,73.62,69.89,55,46,4.09,IN,1605913892
460,Beloha,-25.17,45.05,68.65,86,19,12.01,MG,1605913892
461,Luwuk,-0.95,122.79,81.18,70,100,1.72,ID,1605913892
462,San Alberto,7.76,-73.39,78.58,78,94,2.89,CO,1605913893
463,Lanxi,29.22,119.48,61.0,60,95,2.44,CN,1605913893
464,Eureka,40.8,-124.16,59.0,60,0,3.0,US,1605913873
465,Kamphaeng Phet,16.25,99.5,71.62,82,37,2.37,TH,1605913893
466,Payyanur,12.1,75.2,75.2,94,40,3.36,IN,1605913893
467,Pahrump,36.21,-115.98,64.99,22,100,5.01,US,1605913893
468,Semnan,35.57,53.4,44.35,72,100,2.66,IR,1605913894
469,Nueve de Julio,-35.44,-60.88,71.01,57,0,4.0,AR,1605913894
470,Madimba,-10.4,40.33,77.97,87,13,6.24,TZ,1605913894
471,Valle d'Aosta,45.77,7.42,39.0,53,0,1.92,IT,1605913894
472,Canto do Buriti,-8.11,-42.94,76.32,81,51,2.98,BR,1605913894
473,Katy,29.79,-95.82,78.01,58,65,1.01,US,1605913707
474,San Fernando,15.03,120.69,77.0,88,75,4.7,PH,1605913895
475,Klimovo,52.38,32.19,32.16,99,100,4.54,RU,1605913895
476,Salym,60.06,71.48,25.56,95,94,10.58,RU,1605913895
477,Poum,-20.23,164.02,76.86,68,79,12.37,NC,1605913895
478,Port Blair,11.67,92.75,79.54,82,100,10.22,IN,1605913896
479,Pundaguitan,6.37,126.17,82.83,74,80,3.29,PH,1605913896
480,Goderich,43.75,-81.72,44.6,87,87,12.75,CA,1605913896
481,Chifeng,42.27,118.96,17.56,86,100,2.8,CN,1605913896
482,Khani,41.96,42.96,48.2,66,90,14.99,GE,1605913896
483,Parlākimidi,18.77,84.08,71.4,75,30,2.44,IN,1605913897
484,Tiarei,-17.53,-149.33,86.0,66,40,14.99,PF,1605913897
485,Leiyang,26.4,112.86,57.65,81,77,3.36,CN,1605913822
486,Alice Springs,-23.7,133.88,82.4,51,64,12.59,AU,1605913792
487,Chokwé,-24.53,32.98,65.97,84,2,5.32,MZ,1605913897
488,Leh,34.17,77.58,15.91,76,85,3.85,IN,1605913898
489,Menzel Salem,35.86,8.48,46.49,71,32,21.16,TN,1605913898
490,Laguna de Perlas,12.34,-83.67,82.4,83,75,4.7,NI,1605913898
491,Coruripe,-10.13,-36.18,78.58,80,96,16.02,BR,1605913898
492,Ancud,-41.87,-73.82,59.0,67,75,17.22,CL,1605913898
493,Diffa,13.32,12.61,70.68,29,0,9.35,NE,1605913899
494,Ouadda,8.08,22.4,72.95,44,46,2.84,CF,1605913899
495,Tomari,47.77,142.07,27.61,88,100,2.77,RU,1605913899
496,Okato,-39.2,173.88,64.99,76,100,10.0,NZ,1605913899
497,Suchiapa,16.62,-93.08,80.6,65,75,12.75,MX,1605913899
498,Lobva,59.19,60.52,26.22,91,88,12.66,RU,1605913900
499,Penzance,50.12,-5.54,50.0,100,100,17.22,GB,1605913900
500,Puerto Madryn,-42.77,-65.04,82.22,22,67,26.69,AR,1605913900
501,Qui Nhon,13.77,109.23,73.15,86,1,4.45,VN,1605913842
502,Ozernovskiy,51.5,156.52,32.59,90,100,15.66,RU,1605913900
503,George,-33.96,22.46,57.2,100,0,3.36,ZA,1605913901
504,Shelburne,44.08,-80.2,48.99,73,39,11.63,CA,1605913873
505,Haines Junction,60.75,-137.51,-13.0,69,99,1.12,CA,1605913901
506,Sangar,63.92,127.47,-10.77,89,100,6.64,RU,1605913901
507,Comodoro Rivadavia,-45.87,-67.5,78.8,34,40,14.99,AR,1605913901
508,Marzuq,14.4,46.47,57.36,40,4,2.46,YE,1605913901
509,Bayan,46.08,127.4,10.96,95,96,7.58,CN,1605913902
510,Nishihara,26.18,127.76,75.2,88,90,5.82,JP,1605913902
511,Tubajon,10.33,125.56,81.93,82,37,12.37,PH,1605913902
512,Polyarny,69.2,33.45,26.6,92,75,6.71,RU,1605913902
513,Akdepe,42.06,59.38,15.8,66,0,9.17,TM,1605913903
514,Cabra,37.47,-4.44,53.01,55,0,2.35,ES,1605913903
515,Lydenburg,-25.1,30.46,64.0,97,96,1.5,ZA,1605913903
516,Catumbela,-12.43,13.55,75.04,79,99,4.27,AO,1605913903
517,Darhan,49.49,105.92,10.63,86,7,4.5,MN,1605913903
518,Cache Creek,50.81,-121.32,35.01,80,20,16.11,CA,1605913903
519,Melfort,52.87,-104.62,8.6,78,31,9.17,CA,1605913904
520,Gawler,-34.6,138.73,80.01,36,100,3.67,AU,1605913904
521,St. George's,12.06,-61.75,82.4,78,20,16.11,GD,1605913904
522,Kudahuvadhoo,2.67,72.89,82.06,69,6,5.48,MV,1605913904
523,Richards Bay,-28.78,32.04,66.43,77,97,4.7,ZA,1605913904
524,Vung Tau,10.35,107.08,79.81,80,22,12.93,VN,1605913905
525,Sunrise Manor,36.21,-115.07,69.8,19,40,9.17,US,1605913905
526,El Copé,8.62,-80.6,75.2,94,90,4.7,PA,1605913905
527,Mapastepec,15.43,-92.9,81.81,73,56,1.88,MX,1605913905
528,Senanga,-16.12,23.27,69.49,86,100,5.39,ZM,1605913905
529,Hemnesberget,66.23,13.63,32.0,92,75,3.36,NO,1605913906
530,Torbat-e Jām,35.24,60.62,30.87,80,19,0.85,IR,1605913906
531,Patiya,22.29,91.98,64.47,87,0,2.53,BD,1605913906
532,Pārsābād,39.65,47.92,41.0,100,90,6.93,IR,1605913906
533,Whitehorse,60.72,-135.05,5.0,83,75,3.36,CA,1605913906
534,Bom Jesus,-9.07,-44.36,75.02,86,98,0.96,BR,1605913906
535,Brae,60.4,-1.35,51.8,81,75,47.2,GB,1605913907
536,Santa Cruz Cabrália,-16.28,-39.02,73.4,94,75,3.36,BR,1605913846
537,Takoradze,4.88,-1.76,79.03,82,0,7.83,GH,1605913907
538,Pak Phanang,8.35,100.2,79.75,80,67,2.73,TH,1605913907
539,Herat Province,34.5,62.0,32.83,78,0,0.94,AF,1605913908
540,Shakawe,-18.37,21.85,71.64,83,100,8.59,BW,1605913908
541,Kumul,42.8,93.45,14.65,73,0,2.77,CN,1605913908
542,Antalaha,-14.9,50.28,69.91,83,0,3.24,MG,1605913908
543,Sioux Lookout,50.1,-91.92,19.4,73,90,9.17,CA,1605913622
544,Alta Floresta,-9.88,-56.09,74.25,94,81,2.24,BR,1605913843
545,Kashan,33.98,51.44,46.72,75,90,2.95,IR,1605913909
546,Kachīry,53.07,76.1,11.41,95,71,11.03,KZ,1605913909
547,Ondjiva,-17.07,15.73,77.11,32,56,3.65,AO,1605913909
548,São Miguel do Araguaia,-13.28,-50.16,79.11,65,60,2.3,BR,1605913909
549,Viedma,-40.81,-63.0,82.99,25,46,3.0,AR,1605913909
550,Aswān,24.09,32.91,61.03,45,0,8.41,EG,1605913910
551,Pauini,-7.71,-66.98,77.25,87,48,1.61,BR,1605913684
552,Robertsport,6.75,-11.37,79.83,81,4,8.08,LR,1605913910
553,Hay River,60.82,-115.8,3.2,71,1,5.82,CA,1605913910
554,Dingle,11.0,122.67,78.3,90,1,7.25,PH,1605913911
555,Accra,5.56,-0.2,80.6,88,20,4.7,GH,1605913911
556,Los Llanos de Aridane,28.66,-17.92,69.8,77,0,3.36,ES,1605913911
557,El Vigia,8.62,-71.65,78.44,76,89,2.46,VE,1605913911
558,Issa,53.87,44.86,22.24,84,0,11.21,RU,1605913911
559,Chetwayi,10.53,76.05,75.2,100,20,3.36,IN,1605913912
560,Puerto del Rosario,28.5,-13.86,71.6,43,0,6.93,ES,1605913912
561,Djibouti,11.5,42.5,77.0,69,1,12.24,DJ,1605913912
562,Povenets,62.85,34.83,32.2,95,92,10.58,RU,1605913912
563,Skibbereen,51.55,-9.27,50.0,93,75,19.46,IE,1605913912
564,Ust-Kuyga,70.02,135.6,-5.67,89,94,8.75,RU,1605913913
